date,total_cases
25/02/2020,2
26/02/2020,2
27/02/2020,2
28/02/2020,4
29/02/2020,4
01/03/2020,4
02/03/2020,5
03/03/2020,5
04/03/2020,5
05/03/2020,6
06/03/2020,6
07/03/2020,6
08/03/2020,6
09/03/2020,16
10/03/2020,19
11/03/2020,20
12/03/2020,28
13/03/2020,31
14/03/2020,53
15/03/2020,136
16/03/2020,236
17/03/2020,299
18/03/2020,454
19/03/2020,501
20/03/2020,730
21/03/2020,776
22/03/2020,875
23/03/2020,972
24/03/2020,1063
25/03/2020,1201
26/03/2020,1373
27/03/2020,1495
28/03/2020,1597
29/03/2020,1717
30/03/2020,1938
31/03/2020,2118
01/04/2020,2421
02/04/2020,2686
03/04/2020,2818
04/04/2020,3157
05/04/2020,3766
06/04/2020,4035
07/04/2020,4263
08/04/2020,4489
09/04/2020,4695
10/04/2020,5011
11/04/2020,5230
12/04/2020,5496
13/04/2020,5837
14/04/2020,6383
15/04/2020,6919
16/04/2020,7025
17/04/2020,7638
18/04/2020,8348
19/04/2020,8418
20/04/2020,9565
21/04/2020,10076
22/04/2020,11155
23/04/2020,11940
24/04/2020,12723
25/04/2020,13328
26/04/2020,13915
27/04/2020,14612
28/04/2020,15525
29/04/2020,16817
30/04/2020,18114
01/05/2020,19103
02/05/2020,20084
03/05/2020,20941
04/05/2020,22049
05/05/2020,24073
06/05/2020,24644
07/05/2020,26435
08/05/2020,28736
09/05/2020,30334
10/05/2020,32081
11/05/2020,34336
12/05/2020,35298
13/05/2020,35788
14/05/2020,38799
15/05/2020,38799
16/05/2020,40151
17/05/2020,42125
18/05/2020,43966
19/05/2020,45898
20/05/2020,48091
21/05/2020,50694
22/05/2020,52437
23/05/2020,54601
24/05/2020,56349
25/05/2020,57705
26/05/2020,59151
27/05/2020,61227
28/05/2020,64028
29/05/2020,66457
30/05/2020,69496
31/05/2020,72460
01/06/2020,76398
02/06/2020,80463
03/06/2020,85264
04/06/2020,89249
05/06/2020,93983
06/06/2020,98943
07/06/2020,103671
08/06/2020,108317
09/06/2020,113702
10/06/2020,119536
11/06/2020,125933
12/06/2020,125933
13/06/2020,132405
14/06/2020,144478
15/06/2020,148921
16/06/2020,154760
17/06/2020,160118
18/06/2020,165062
19/06/2020,171666
20/06/2020,176617
21/06/2020,181088
22/06/2020,185034
23/06/2020,188926
24/06/2020,192970
25/06/2020,195745
26/06/2020,198883
27/06/2020,202955
28/06/2020,206512
29/06/2020,209337
30/06/2020,213470
01/07/2020,217809
02/07/2020,221896
03/07/2020,221896
04/07/2020,225283
05/07/2020,231818
06/07/2020,234509
07/07/2020,237489
08/07/2020,240848
09/07/2020,243599
10/07/2020,246351
11/07/2020,248872
12/07/2020,251625
13/07/2020,253604
14/07/2020,255769
15/07/2020,257914
16/07/2020,257914
17/07/2020,261917
18/07/2020,263496
19/07/2020,265083
20/07/2020,266096
21/07/2020,267428
22/07/2020,269191
23/07/2020,270400
24/07/2020,271887
25/07/2020,273113
26/07/2020,273113
27/07/2020,274289
28/07/2020,275225
29/07/2020,276288
30/07/2020,277402
31/07/2020,278305
01/08/2020,278305
02/08/2020,279699
03/08/2020,280461
04/08/2020,280461
05/08/2020,281136
06/08/2020,281863
07/08/2020,282645
08/08/2020,283487
09/08/2020,284121
10/08/2020,284660
11/08/2020,285191
12/08/2020,285921
13/08/2020,286674
14/08/2020,287300
15/08/2020,288047
16/08/2020,289215
17/08/2020,289215
18/08/2020,289832
19/08/2020,290445
20/08/2020,290958
21/08/2020,291588
22/08/2020,292174
23/08/2020,293261
24/08/2020,293261
25/08/2020,293711
26/08/2020,294193
27/08/2020,294638
28/08/2020,295053
29/08/2020,295372
30/08/2020,295636
31/08/2020,295849
01/09/2020,296149
02/09/2020,297014
03/09/2020,297512
04/09/2020,298025
05/09/2020,298025
06/09/2020,298903
07/09/2020,299233
08/09/2020,299659
09/09/2020,300030
10/09/2020,300371
11/09/2020,300955
12/09/2020,301481
13/09/2020,302020
14/09/2020,302424
15/09/2020,303089
16/09/2020,303634
17/09/2020,304386
18/09/2020,305031
19/09/2020,305671
20/09/2020,306304
21/09/2020,306886
22/09/2020,307418
23/09/2020,308217
24/09/2020,309015
25/09/2020,309581
26/09/2020,310275
27/09/2020,310841
28/09/2020,311516
29/09/2020,312263
30/09/2020,312806
01/10/2020,313431
02/10/2020,313984
03/10/2020,314616
04/10/2020,314616
05/10/2020,315727
06/10/2020,316351
07/10/2020,316934
08/10/2020,317595
09/10/2020,318266
10/10/2020,318932
11/10/2020,319317
12/10/2020,319848
13/10/2020,320463
14/10/2020,321218
15/10/2020,321877
16/10/2020,322452
17/10/2020,323019
18/10/2020,323452
19/10/2020,324034
20/10/2020,324744
21/10/2020,325480
22/10/2020,326216
23/10/2020,327063
24/10/2020,327895
25/10/2020,328602
26/10/2020,329375
27/10/2020,330200
28/10/2020,331108
29/10/2020,332186
30/10/2020,332993
31/10/2020,333970
01/11/2020,335093
02/11/2020,336260
03/11/2020,337573
04/11/2020,338875
05/11/2020,340251
06/11/2020,341753
07/11/2020,343189
08/11/2020,344839
09/11/2020,346476
10/11/2020,348184
11/11/2020,349992
12/11/2020,352296
13/11/2020,354461
14/11/2020,356904
15/11/2020,359032
16/11/2020,361082
17/11/2020,363380
18/11/2020,365927
19/11/2020,368665
20/11/2020,371508
21/11/2020,374173
22/11/2020,376929
23/11/2020,379883
24/11/2020,382892
25/11/2020,386198
26/11/2020,389311
27/11/2020,392356
28/11/2020,395185
29/11/2020,398024
30/11/2020,400482
01/12/2020,403311
02/12/2020,406810
03/12/2020,410072
04/12/2020,413191
05/12/2020,416499
06/12/2020,420294
07/12/2020,423179
08/12/2020,426142
09/12/2020,429280
10/12/2020,432327
11/12/2020,435056
12/12/2020,438425
13/12/2020,440787
14/12/2020,443246
15/12/2020,445977
16/12/2020,448522
17/12/2020,451494
18/12/2020,454673
19/12/2020,457288
20/12/2020,458968
21/12/2020,460672
22/12/2020,462814
23/12/2020,465070
24/12/2020,467222
25/12/2020,469482
26/12/2020,471335
27/12/2020,473309
28/12/2020,475085
29/12/2020,477240
30/12/2020,479715
31/12/2020,482178
